epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
46,test,10000,3,-19.0,-21,-17,0.05,2300000,1000000,-0.355854,0.004740510689991837,575000,16456.453054999998,37.68175100000008,265.38044901363475
47,train,50000,18,-17.88888888888889,-21,-6,0.1,2350000,1000000,-0.295229,0.0047161779188220794,587500,16768.324157,311.8677910000006,160.32434718466936
47,test,10000,3,-19.0,-19,-19,0.05,2350000,1000000,-0.28511,0.0047161779188220794,587500,16806.148675,37.80989100000079,264.48105867323954
48,train,50000,17,-17.705882352941178,-21,-11,0.1,2400000,1000000,-0.264417,0.0046908969561098917,600000,17115.321749,309.16899099999864,161.7238515359395
48,test,10000,3,-17.666666666666668,-19,-16,0.05,2400000,1000000,-0.274851,0.0046908969561098917,600000,17153.422179,38.085463000003074,262.56737380346914
49,train,50000,17,-16.88235294117647,-19,-13,0.1,2450000,1000000,-0.325154,0.0046681250121844726,612500,17468.359285,314.9336519999997,158.76359888018587
49,test,10000,4,-17.5,-20,-14,0.05,2450000,1000000,-0.325338,0.0046681250121844726,612500,17506.393247,38.016920000001846,263.04077237186794
50,train,50000,17,-18.058823529411768,-21,-14,0.1,2500000,1000000,-0.336672,0.0046431594878169231,625000,17815.562449,309.16573100000096,161.7255568341106
50,test,10000,3,-17.666666666666668,-20,-14,0.05,2500000,1000000,-0.319689,0.0046431594878169231,625000,17853.530198,37.95340700000088,263.480957058737
51,train,50000,17,-17.35294117647059,-20,-13,0.1,2550000,1000000,-0.258935,0.0046154942031987984,637500,18162.64691,309.1133950000003,161.75293859394205
51,test,10000,5,-19.6,-20,-18,0.05,2550000,1000000,-0.301696,0.0046154942031987984,637500,18200.280692,37.61984999999913,265.8171151666004
52,train,50000,18,-16.722222222222225,-21,-1,0.1,2600000,1000000,-0.320818,0.0045891705689264468,650000,18510.673415999998,310.3892199999973,161.08806871578992
52,test,10000,3,-17.666666666666668,-20,-16,0.05,2600000,1000000,-0.312439,0.0045891705689264468,650000,18549.592113,38.90459099999862,257.0390728436229
53,train,50000,17,-16.882352941176467,-20,-11,0.1,2650000,1000000,-0.336765,0.0045644367242786629,662500,18858.900844,309.3055310000018,161.65246007191416
53,test,10000,3,-19.0,-21,-18,0.05,2650000,1000000,-0.298516,0.0045644367242786629,662500,18899.482122,40.5672650000015,246.50417029591793
54,train,50000,15,-16.866666666666667,-19,-11,0.1,2700000,1000000,-0.271184,0.0045452960453183314,675000,19210.783564,311.29819300000236,160.61770072658155
54,test,10000,2,-15.0,-17,-13,0.05,2700000,1000000,-0.276791,0.0045452960453183314,675000,19249.573463,38.7758759999997,257.8923039675513
55,train,50000,16,-15.999999999999998,-21,-3,0.1,2750000,1000000,-0.314023,0.0045269456068850944,687500,19561.342144,311.76471599999786,160.37735328586814
55,test,10000,2,-16.0,-17,-15,0.05,2750000,1000000,-0.289767,0.0045269456068850944,687500,19606.618942999998,45.26217799999722,220.93501554433846
