epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
63,test,125000,114,844.5614035087721,300,1420,0.05,15750000,1000000,11.0053,0,3937500,113290.41315800001,416.34045100001094,300.23505931206455
64,train,250000,179,1104.469273743017,140,2060,0.1,16000000,1000000,10.9294,0.00045232083253591567,4000000,114684.843784,1394.4277919999877,179.28500954605343
64,test,125000,85,1228.4705882352941,280,2160,0.05,16000000,1000000,10.7844,0,4000000,115101.271773,416.41462100000354,300.1815827211287
65,train,250000,154,1362.8571428571427,20,2620,0.1,16250000,1000000,11.2884,0.00040059509380067188,4062500,116499.206209,1397.9316059999983,178.83564469605412
65,test,125000,80,1362.9999999999998,580,2280,0.05,16250000,1000000,11.2824,0,4062500,116915.998527,416.77886400000716,299.91923966662057
66,train,250000,163,1213.865030674847,300,2020,0.1,16500000,1000000,10.4855,0.00037139554258201724,4125000,118312.051086,1396.0497460000042,179.076713216206
66,test,125000,100,790.8,240,1400,0.05,16500000,1000000,10.4989,0,4125000,118729.597313,417.53281499999866,299.37766687871084
67,train,250000,183,1025.9016393442628,260,1840,0.1,16750000,1000000,10.2347,0.00037727719241355354,4187500,120127.018581,1397.4184449999884,178.90131684930068
67,test,125000,68,1636.4705882352944,460,2160,0.05,16750000,1000000,10.2305,0,4187500,120543.656305,416.62421199999517,300.03057047486584
68,train,250000,167,1165.6287425149696,340,2000,0.1,17000000,1000000,11.2042,0.00037857874149021392,4250000,121939.74545300001,1396.0863270000118,179.07202095246785
68,test,125000,145,552.827586206897,180,1120,0.05,17000000,1000000,11.4814,0,4250000,122357.49259200001,417.7337770000013,299.23364324929753
69,train,250000,154,1345.974025974026,460,2200,0.1,17250000,1000000,10.9647,0.00044419946377673261,4312500,123753.666929,1396.171519999989,179.061094155539
69,test,125000,72,1602.4999999999998,940,2300,0.05,17250000,1000000,10.8969,0,4312500,124170.298557,416.61812199999986,300.0349562326529
70,train,250000,154,1322.8571428571424,500,2140,0.1,17500000,1000000,10.7462,0.00042917023699672068,4375000,125566.38982,1396.0884399999923,179.07174992438257
70,test,125000,79,1198.7341772151894,480,1700,0.05,17500000,1000000,10.7769,0,4375000,125983.11047900001,416.70723500000895,299.97079364364123
71,train,250000,157,1308.1528662420378,360,2220,0.1,17750000,1000000,11.4299,0.00034619409131015131,4437500,127378.747321,1395.6340150000033,179.13005652846562
71,test,125000,74,1569.9999999999998,660,2320,0.05,17750000,1000000,11.4574,0,4437500,127795.460527,416.6998239999957,299.97612861963023
72,train,250000,171,1182.2222222222229,220,2080,0.1,18000000,1000000,10.4254,0.00031112331259102615,4500000,129191.96596,1396.5026209999924,179.0186400230189
72,test,125000,69,1642.8985507246377,520,2300,0.05,18000000,1000000,10.3257,0,4500000,129608.485549,416.50622500000463,300.11556249849235
73,train,250000,162,1244.5679012345677,140,2440,0.1,18250000,1000000,11.1062,0.00030000003111706506,4562500,131003.137564,1394.6492010000075,179.25654696589086
73,test,125000,84,1274.7619047619048,300,2000,0.05,18250000,1000000,11.1054,0,4562500,131419.91853899998,416.76748699999007,299.9274269204281
74,train,250000,162,1238.1481481481476,160,2120,0.1,18500000,1000000,11.492,0.00032056966601249899,4625000,132815.82191199998,1395.9004760000098,179.09586270532816
74,test,125000,68,1650.0,860,2180,0.05,18500000,1000000,11.5959,0,4625000,133232.452403,416.61701400001766,300.0357541806843
75,train,250000,171,1157.3099415204672,220,2040,0.1,18750000,1000000,10.9997,0.00032716541516125008,4687500,134627.17734599998,1394.7221269999864,179.24717415772557
75,test,125000,124,605.483870967742,40,1500,0.05,18750000,1000000,10.9044,0,4687500,135043.610952,416.42017500000657,300.177579052211
76,train,250000,169,1130.5325443786987,20,1920,0.1,19000000,1000000,11.2516,0.00037162651171155568,4750000,136437.570763,1393.9569940000074,179.34556164650132
76,test,125000,78,1414.1025641025635,460,2120,0.05,19000000,1000000,11.1688,0,4750000,136853.89219299998,416.3080309999932,300.25844012603744
77,train,250000,171,1151.3450292397658,180,2000,0.1,19250000,1000000,10.9695,0.00035445725218078062,4812500,138247.763186,1393.8681550000038,179.35699234049818
77,test,125000,101,935.0495049504952,360,1640,0.05,19250000,1000000,10.9731,0,4812500,138664.296228,416.5196350000042,300.1059001696252
78,train,250000,163,1242.9447852760738,160,2220,0.1,19500000,1000000,10.9763,0.0003477147431630297,4875000,140057.83678399998,1393.5377429999935,179.39951842409565
78,test,125000,96,568.3333333333333,20,780,0.05,19500000,1000000,10.9724,0,4875000,140472.34754699998,414.49726199998986,301.57014643923765
79,train,250000,159,1264.4025157232707,160,2220,0.1,19750000,1000000,10.2787,0.00032832999660371907,4937500,141866.576264,1394.225901000027,179.3109709270816
79,test,125000,62,1785.4838709677415,1060,2200,0.05,19750000,1000000,10.3102,0,4937500,142282.53431199997,415.94474499998614,300.5206857463824
80,train,250000,168,1182.0238095238094,220,2100,0.1,20000000,1000000,11.3085,0.00030474285208802009,5000000,143676.269163,1393.7320290000062,179.37451016274156
80,test,125000,65,1853.2307692307693,1180,2360,0.05,20000000,1000000,11.3112,0,5000000,144092.319704,416.037089999998,300.4539811582679
81,train,250000,176,1085.9090909090917,240,2120,0.1,20250000,1000000,10.7444,0.00029407427172441415,5062500,145486.28060199998,1393.9580859999987,179.34542115063294
81,test,125000,145,106.75862068965513,0,340,0.05,20250000,1000000,10.8224,0,5062500,145902.208674,415.9145589999971,300.5424967583327
82,train,250000,179,1062.0111731843579,280,2080,0.1,20500000,1000000,10.645,0.00037603451503745059,5125000,147295.842168,1393.630685000011,179.38755417113828
82,test,125000,74,1547.837837837838,760,2240,0.05,20500000,1000000,10.6404,0,5125000,147711.918033,416.0624170000083,300.4356915996032
83,train,250000,176,1112.6136363636365,180,1900,0.1,20750000,1000000,11.2572,0.00038558315802780557,5187500,149106.76628299998,1394.8454089999723,179.23133157762356
83,test,125000,115,621.5652173913043,140,1120,0.05,20750000,1000000,11.1871,0,5187500,149523.189387,416.40968599999906,300.1851402659262
84,train,250000,178,1074.9438202247188,80,2040,0.1,21000000,1000000,11.6737,0.00036001583751750103,5250000,150917.333954,1394.1417500000098,179.32179421497005
84,test,125000,80,1323.9999999999998,520,2040,0.05,21000000,1000000,11.6847,0,5250000,151333.454989,416.10751100000925,300.40313307393586
85,train,250000,168,1197.9761904761913,220,2180,0.1,21250000,1000000,11.4021,0.0003178124463737864,5312500,152727.887604,1394.4298030000064,179.2847509872097
85,test,125000,80,1399.7500000000007,620,2320,0.05,21250000,1000000,11.3227,0,5312500,153143.911203,416.0102309999929,300.4733794635982
